nominal;data;curs;cdx
100;05.10.2022;14.4632;Армянскийдрам
100;04.10.2022;14.1712;Армянскийдрам
100;01.10.2022;13.6321;Армянскийдрам
100;30.09.2022;14.1436;Армянскийдрам
100;29.09.2022;14.3242;Армянскийдрам
100;28.09.2022;14.1954;Армянскийдрам
100;27.09.2022;14.0413;Армянскийдрам
100;24.09.2022;13.9574;Армянскийдрам
100;23.09.2022;14.3125;Армянскийдрам
100;22.09.2022;14.5646;Армянскийдрам
100;21.09.2022;14.3606;Армянскийдрам
100;20.09.2022;14.3835;Армянскийдрам
100;17.09.2022;14.4317;Армянскийдрам
100;16.09.2022;14.5124;Армянскийдрам
100;15.09.2022;14.6965;Армянскийдрам
100;14.09.2022;14.8143;Армянскийдрам
100;13.09.2022;14.9103;Армянскийдрам
100;10.09.2022;14.9190;Армянскийдрам
100;09.09.2022;15.0085;Армянскийдрам
100;08.09.2022;15.1102;Армянскийдрам
100;07.09.2022;15.0332;Армянскийдрам
100;06.09.2022;15.0475;Армянскийдрам
100;03.09.2022;14.9216;Армянскийдрам
100;02.09.2022;14.8829;Армянскийдрам
100;01.09.2022;14.8822;Армянскийдрам
100;31.08.2022;14.9141;Армянскийдрам
100;30.08.2022;14.9002;Армянскийдрам
100;27.08.2022;14.8442;Армянскийдрам
100;26.08.2022;14.7602;Армянскийдрам
100;25.08.2022;14.8189;Армянскийдрам
100;24.08.2022;14.7918;Армянскийдрам
100;23.08.2022;14.7344;Армянскийдрам
100;20.08.2022;14.5951;Армянскийдрам
100;19.08.2022;14.7754;Армянскийдрам
100;18.08.2022;14.9658;Армянскийдрам
100;17.08.2022;15.1259;Армянскийдрам
100;16.08.2022;15.1099;Армянскийдрам
100;13.08.2022;15.0032;Армянскийдрам
100;12.08.2022;14.9284;Армянскийдрам
100;11.08.2022;14.8983;Армянскийдрам
100;10.08.2022;14.8620;Армянскийдрам
100;09.08.2022;14.8340;Армянскийдрам
100;06.08.2022;14.8642;Армянскийдрам
100;05.08.2022;14.8437;Армянскийдрам
100;04.08.2022;14.8215;Армянскийдрам
100;03.08.2022;14.7823;Армянскийдрам
100;02.08.2022;15.2260;Армянскийдрам
100;30.07.2022;15.0377;Армянскийдрам
100;29.07.2022;14.8032;Армянскийдрам
100;28.07.2022;14.7652;Армянскийдрам
100;27.07.2022;14.3274;Армянскийдрам
100;26.07.2022;14.0480;Армянскийдрам
100;23.07.2022;13.8929;Армянскийдрам
100;22.07.2022;13.6145;Армянскийдрам
